No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Note
394,Sunday,30-11-25,36052,36,El-BATAL,SOIL,16-11-25,A-2-4,14.70%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,14,
395,Sunday,30-11-25,36058,36,NEESR EL-ARABY,SOIL,17-11-25,A-2-4,16.20%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,13,
396,Sunday,30-11-25,36063,36,EL-THNAA,SOIL,24-11-25,A-2-4,20.90%,,Bottom of excavation,MARINA C,B-25,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,6,
397,Sunday,30-11-25,36072,36,SAAD SHETA,SOIL,12-11-25,A-2-4,17.60%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,18,
398,Sunday,30-11-25,36093,36,MOKHTAR ELSHENAWY,SOIL,15-11-25,A-2-4,16.50%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,15,
399,Monday,01-12-25,36102,36,El-BATAL,DPL,29-11-25,,,55.526,Fill,MARINA C,B-13,LAYER-14,7,,,APPROVED AS NOTED,DONE,2,EIDG,2,
400,Monday,01-12-25,36103,36,El-BATAL,DPL,29-11-25,,,57.533,Fill,MARINA C,B-15,LAYER-14,6,,,APPROVED AS NOTED,DONE,2,EIDG,2,
401,Monday,01-12-25,36101,36,U-MARK,DPL,29-11-25,,,48.449,Fill,MARINA C,BH-11,LAYER-4,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
402,Monday,01-12-25,36100,36,U-MARK,DPL,29-11-25,,,52.284,Fill,MARINA C,BH-12,LAYER-5,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
403,Monday,01-12-25,36099,36,U-MARK,DPL,29-11-25,,,45.532,Fill,MARINA C,BH-13,LAYER-6,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
404,Monday,01-12-25,36098,36,El-BATAL,DPL,29-11-25,,,50.378,Fill,MARINA C,B-15,LAYER-12,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
405,Monday,01-12-25,36097,36,AHMED SAEED,DPL,29-11-25,,,46.006,Fill,MARINA C,B-22,LAYER-1,3,,,APPROVED AS NOTED,DONE,2,EIDG,2,
406,Monday,01-12-25,36141,36,El-BATAL,PLATE LOAD,30-11-25,,,,Fill,MARINA C,B-15,24.8,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,1,
407,Monday,01-12-25,36142,36,El-BATAL,PLATE LOAD,30-11-25,,,,Fill,MARINA C,B-13,24.8,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,1,
408,Monday,01-12-25,35708,36,U-MARK,DPL,29-11-25,,,46.979,Fill,MARINA C,B-12,LAYER-16,7,,,APPROVED AS NOTED,DONE,2,EIDG,2,
409,Monday,01-12-25,36122,36,MOKHTAR ELSHENAWY,DPL,30-11-25,,,51.176,Fill,MARINA C,BH-10,LAYER-21,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,
410,Monday,01-12-25,36123,36,MOKHTAR ELSHENAWY,DPL,30-11-25,,,52.068,Fill,MARINA C,BH-14,LAYER-13,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
411,Monday,01-12-25,36124,36,U-MARK,DPL,30-11-25,,,54.285,Fill,MARINA C,BH-1,LAYER-11,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
412,Monday,01-12-25,36125,36,U-MARK,DPL,30-11-25,,,47.795,Fill,MARINA C,BH-2,LAYER-11,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
413,Monday,01-12-25,36126,36,U-MARK,DPL,30-11-25,,,49.409,Fill,MARINA C,BH-3,LAYER-11,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
